t,joint_0_deg,joint_1_deg,joint_2_deg,joint_3_deg
0.0,0.242,-0.02,0.043,0.104
0.02,5.347,-0.755,2.482,1.793
0.04,9.993,-2.39,7.485,3.09
0.06,13.812,-4.918,13.863,3.951
0.08,17.034,-8.278,20.767,4.402
0.1,19.826,-12.402,27.593,4.47
0.12,22.256,-17.202,33.931,4.192
0.14,24.328,-22.557,39.549,3.607
0.16,26.031,-28.31,44.357,2.756
0.18,27.369,-34.289,48.352,1.681
0.2,28.364,-40.32,51.59,0.429
0.22,29.03,-46.291,54.178,-0.494
0.24,29.407,-52.114,56.214,-0.552
0.26,29.581,-57.556,57.753,-0.52
0.28,29.594,-62.494,58.891,-0.508
0.3,29.489,-66.853,59.713,-0.513
0.32,29.307,-70.583,60.292,-0.522
0.34,29.082,-73.665,60.685,-0.531
0.36,28.844,-76.098,60.938,-0.534
0.38,28.615,-77.903,61.09,-0.531
0.4,28.411,-79.113,61.168,-0.521
0.42,28.239,-79.775,61.195,-0.506
0.44,28.104,-79.947,61.189,-0.485
0.46,28.003,-79.688,61.164,-0.46
0.48,27.932,-79.064,61.131,-0.433
0.5,27.887,-78.14,61.098,-0.403
0.52,27.864,-76.978,61.072,-0.373
0.54,27.859,-75.64,61.058,-0.343
0.56,27.87,-74.182,61.061,-0.314
0.58,27.896,-72.654,61.084,-0.286
0.6,27.939,-71.104,61.13,-0.26
0.62,28.0,-69.57,61.2,-0.236
0.64,28.081,-68.087,61.297,-0.215
0.66,28.186,-66.683,61.419,-0.196
0.68,28.316,-65.379,61.567,-0.18
0.7,28.473,-64.193,61.741,-0.167
0.72,28.655,-63.135,61.938,-0.157
0.74,28.861,-62.212,62.156,-0.149
0.76,29.088,-61.427,62.392,-0.143
0.78,29.331,-60.777,62.642,-0.14
0.8,29.586,-60.257,62.901,-0.139
0.82,29.845,-59.861,63.164,-0.139
0.84,30.102,-59.579,63.427,-0.14
0.86,30.351,-59.4,63.683,-0.143
0.88,30.586,-59.312,63.928,-0.146
0.9,30.801,-59.302,64.157,-0.15
0.92,30.992,-59.358,64.366,-0.155
0.94,31.156,-59.469,64.553,-0.16
0.96,31.289,-59.623,64.713,-0.165
0.98,31.391,-59.808,64.847,-0.17
1.0,31.46,-60.016,64.953,-0.175
1.02,31.498,-60.239,65.031,-0.179
1.04,31.506,-60.468,65.083,-0.183
1.06,31.484,-60.697,65.109,-0.187
1.08,31.437,-60.922,65.111,-0.191
1.1,31.366,-61.138,65.093,-0.194
1.12,31.276,-61.342,65.056,-0.197
1.14,31.168,-61.532,65.003,-0.199
1.16,31.047,-61.707,64.937,-0.202
1.18,30.916,-61.865,64.862,-0.203
1.2,30.778,-62.007,64.779,-0.205
1.22,30.637,-62.132,64.692,-0.206
1.24,30.496,-62.241,64.602,-0.207
1.26,30.357,-62.334,64.513,-0.207
1.28,30.223,-62.413,64.425,-0.208
1.3,30.097,-62.478,64.341,-0.208
1.32,29.979,-62.531,64.262,-0.208
1.34,29.871,-62.573,64.189,-0.208
1.36,29.775,-62.605,64.123,-0.208
1.38,29.692,-62.628,64.064,-0.207
1.4,29.621,-62.643,64.014,-0.207
1.42,29.564,-62.651,63.971,-0.207
1.44,29.52,-62.653,63.937,-0.206
1.46,29.488,-62.65,63.911,-0.206
1.48,29.469,-62.643,63.892,-0.206
1.5,29.462,-62.632,63.881,-0.205
1.52,29.465,-62.618,63.876,-0.205
1.54,29.478,-62.601,63.878,-0.204
1.56,29.499,-62.583,63.885,-0.204
1.58,29.528,-62.563,63.897,-0.203
1.6,29.562,-62.541,63.913,-0.203
1.62,29.602,-62.519,63.932,-0.203
1.64,29.645,-62.497,63.954,-0.202
1.66,29.691,-62.474,63.978,-0.202
1.68,29.738,-62.451,64.004,-0.202
1.7,29.786,-62.428,64.03,-0.201
1.72,29.833,-62.405,64.056,-0.201
1.74,29.878,-62.383,64.082,-0.201
1.76,29.922,-62.362,64.107,-0.2
1.78,29.963,-62.342,64.13,-0.2
1.8,30.0,-62.323,64.153,-0.2
1.82,30.034,-62.305,64.173,-0.2
1.84,30.064,-62.288,64.191,-0.2
1.86,30.09,-62.273,64.208,-0.199
1.88,30.112,-62.259,64.222,-0.199
1.9,30.129,-62.247,64.234,-0.199
1.92,30.143,-62.236,64.243,-0.199
1.94,30.152,-62.227,64.251,-0.199
1.96,30.158,-62.219,64.256,-0.199
1.98,30.161,-62.213,64.259,-0.199
2.0,30.16,-62.209,64.26,-0.199
2.02,30.156,-62.206,64.26,-0.199
2.04,30.15,-62.205,64.259,-0.199
2.06,30.142,-62.205,64.255,-0.199
2.08,30.132,-62.206,64.251,-0.199
2.1,30.12,-62.209,64.246,-0.2
2.12,30.108,-62.212,64.241,-0.2
2.14,30.095,-62.217,64.234,-0.2
2.16,30.081,-62.222,64.227,-0.2
2.18,30.068,-62.228,64.221,-0.2
2.2,30.054,-62.234,64.214,-0.2
2.22,30.041,-62.241,64.207,-0.2
2.24,30.028,-62.248,64.2,-0.2
2.26,30.017,-62.255,64.194,-0.2
2.28,30.006,-62.262,64.187,-0.2
2.3,29.996,-62.268,64.182,-0.201
2.32,29.987,-62.275,64.177,-0.201
2.34,29.979,-62.281,64.172,-0.201
2.36,29.972,-62.287,64.168,-0.201
2.38,29.967,-62.292,64.165,-0.201
2.4,29.963,-62.297,64.162,-0.201
2.42,29.96,-62.301,64.16,-0.201
2.44,29.957,-62.305,64.158,-0.201
2.46,29.956,-62.308,64.157,-0.201
2.48,29.956,-62.31,64.156,-0.201
2.5,29.956,-62.312,64.156,-0.201
2.52,29.958,-62.313,64.156,-0.201
2.54,29.96,-62.314,64.156,-0.201
2.56,29.962,-62.314,64.157,-0.201
2.58,29.965,-62.314,64.158,-0.201
2.6,29.968,-62.313,64.16,-0.201
2.62,29.971,-62.312,64.161,-0.201
2.64,29.975,-62.311,64.163,-0.201
2.66,29.979,-62.309,64.165,-0.201
2.68,29.982,-62.308,64.166,-0.201
2.7,29.986,-62.306,64.168,-0.201
2.72,29.989,-62.304,64.17,-0.201
2.74,29.993,-62.301,64.172,-0.201
2.76,29.996,-62.299,64.173,-0.201
2.78,29.999,-62.297,64.175,-0.201
2.8,30.001,-62.295,64.176,-0.201
2.82,30.004,-62.293,64.178,-0.2
2.84,30.006,-62.291,64.179,-0.2
2.86,30.008,-62.289,64.18,-0.2
2.88,30.009,-62.288,64.181,-0.2
2.9,30.01,-62.286,64.182,-0.2
2.92,30.011,-62.285,64.182,-0.2
2.94,30.011,-62.284,64.183,-0.2
2.96,30.012,-62.283,64.183,-0.2
2.98,30.012,-62.282,64.183,-0.2
